title,genre,rating,duration,director,actor
The Silent Dawn,Drama,PG-13,102,Laura Jensen,Adam Cole
Lost in the Stars,Sci-Fi,TV-14,95,Kenji Tanaka,Haruto Sato
City Lights,Romance,PG,88,Martin Fields,Clara Reid
Edge of Tomorrow,Action,R,110,Sophia Miles,Victor Hale
The Forgotten Path,Mystery,PG-13,124,Rajesh Kapoor,Priya Sen
Underwater Echoes,Horror,TV-MA,98,Camille Durant,Elise Fontaine
Shadows of Time,Fantasy,PG,106,Diego Romero,Sofia Ramirez
Digital Dreams,Sci-Fi,PG-13,113,Olivia Chen,Li Wei
The Last Melody,Music,G,77,Andrei Petrov,Anna Petrova
Fire Within,Action,R,129,Michael Roberts,Emily Waters
